발생일시_년,발생일시_월,발생장소_시도,발생장소_시군,평균풍속,평균상대습도
2003,1,서울,서울,2.5,60
2003,1,인천,인천,2.9,64
2003,1,경기,동두천,0.5,64
2003,1,경기,파주,1.5,69
2003,1,경기,수원,1.2,61
2003,1,인천,강화,1,64
2003,1,경기,양평,0.9,71
2003,1,경기,이천,1.1,70
2003,1,강원,속초,2.6,49
2003,1,강원,춘천,-,-
2003,1,강원,철원,1.3,75
2003,1,강원,춘천,1.1,68
2003,1,강원,강릉,-,-
2003,1,강원,강릉,3.4,49
2003,1,강원,동해,3.2,49
2003,1,강원,원주,1,64
2003,1,강원,영월,1.4,67
2003,1,강원,인제,1.5,62
2003,1,강원,홍천,1.1,72
2003,1,강원,태백,1.6,65
2003,1,강원,정선,-,-
2003,1,충북,충주,1.5,65
2003,1,충북,청주,2.1,66
2003,1,충북,제천,1.4,70
2003,1,충북,보은,1.4,62
2003,1,충남,서산,2.5,74
2003,1,충남,홍성,-,-
2003,1,충남,천안,1.9,74
2003,1,충남,보령,2.3,68
2003,1,충남,부여,1.1,74
2003,1,충남,금산,0.8,70
2003,1,대전,대전,2.6,66
2003,1,세종,세종,2.6,66
2003,1,울산,울산,2.5,45
2003,1,대구,대구,2.8,51
2003,1,부산,부산,4.3,44
2003,1,경남,창원,1.5,43
2003,1,경남,통영,2.2,51
2003,1,경남,진주,1.6,56
2003,1,경남,김해,-,-
2003,1,경남,창원,-,-
2003,1,경남,양산,-,-
2003,1,경남,의령,-,-
2003,1,경남,함양,-,-
2003,1,경남,거창,1.5,68
2003,1,경남,합천,1.2,66
2003,1,경남,밀양,1.3,56
2003,1,경남,산청,2.7,57
2003,1,경남,거제,2,51
2003,1,경남,남해,2.1,49
2003,1,경북,울진,4.4,49
2003,1,경북,안동,2.1,51
2003,1,경북,상주,3,61
2003,1,경북,포항,3.2,45
2003,1,경북,봉화,1.4,58
2003,1,경북,영주,3.6,61
2003,1,경북,문경,2.5,65
2003,1,경북,청송,-,-
2003,1,경북,영덕,3.9,51
2003,1,경북,의성,1.2,72
2003,1,경북,구미,2.1,51
2003,1,경북,영천,2.3,61
2003,1,경북,경주,-,-
2003,1,전북,군산,4,74
2003,1,전북,전주,1.7,70
2003,1,전북,고창,-,-
2003,1,전북,부안,1.3,76
2003,1,전북,임실,1.1,71
2003,1,전북,정읍,0.8,77
2003,1,전북,남원,1.3,65
2003,1,전북,장수,1.8,63
2003,1,전북,고창,-,-
2003,1,전북,순창,-,-
2003,1,전남,여수,5.9,54
2003,1,전남,완도,5.3,62
2003,1,전남,순천,-,-
